Matrix1_Feature,Matrix2_Feature,Spearman_Correlation,P_value_Raw,P_value_FDR,CI_Lower,CI_Upper
Romboutsia_sedimentorum,FG,0.082242992,0.677370586,0.924118493,-0.312986818,0.489203756
Romboutsia_sedimentorum,ADG,-0.131403848,0.505077576,0.924118493,-0.496236055,0.244533408
Romboutsia_sedimentorum,Diarrhea_score,-0.043155391,0.827392586,0.924118493,-0.378062189,0.338445981
Romboutsia_sedimentorum,ileal_villus_height,-0.162718586,0.408064442,0.924118493,-0.527924327,0.258384705
Romboutsia_sedimentorum,ileal_crypt_depth,-0.034198482,0.862839176,0.924118493,-0.425041909,0.367583267
Romboutsia_sedimentorum,ileal_villus_height_to_crypt_depth,-0.121400076,0.538301264,0.924118493,-0.474478153,0.257262074
Romboutsia_sedimentorum,IL6,-0.48591325,0.008753971,0.232743912,-0.723872406,-0.143788541
Romboutsia_sedimentorum,IL10,0.174430397,0.374674856,0.924118493,-0.236462188,0.546204974
Romboutsia_sedimentorum,IL17,0.125164419,0.525679463,0.924118493,-0.302727047,0.513699665
Romboutsia_sedimentorum,sIgA,-0.078908989,0.689794761,0.924118493,-0.487954854,0.407527871
Romboutsia_sedimentorum,DLA,0.07513568,0.703951385,0.924118493,-0.289160941,0.443858157
Romboutsia_sedimentorum,DAO,0.310921296,0.107302753,0.770908289,-0.117149102,0.671735427
Lactobacillus_paralimentarius,FG,0.295916514,0.126282151,0.770908289,-0.081551696,0.595620268
Lactobacillus_paralimentarius,ADG,0.467530756,0.012119618,0.232743912,0.160429134,0.717434105
Lactobacillus_paralimentarius,Diarrhea_score,-0.11918513,0.545794164,0.924118493,-0.554770655,0.341084231
Lactobacillus_paralimentarius,ileal_villus_height,0.258197432,0.184645257,0.770908289,-0.120957795,0.624828216
Lactobacillus_paralimentarius,ileal_crypt_depth,-0.104234219,0.597603062,0.924118493,-0.480611149,0.258376675
Lactobacillus_paralimentarius,ileal_villus_height_to_crypt_depth,0.2737641,0.158635369,0.770908289,-0.128216137,0.613807187
Lactobacillus_paralimentarius,IL6,0.057116016,0.772821773,0.924118493,-0.364912046,0.434807548
Lactobacillus_paralimentarius,IL10,0.106193482,0.590695416,0.924118493,-0.291231385,0.479979482
Lactobacillus_paralimentarius,IL17,-0.033710222,0.864779575,0.924118493,-0.413822523,0.358113238
Lactobacillus_paralimentarius,sIgA,-0.214502371,0.273030019,0.770908289,-0.572484469,0.172535607
Lactobacillus_paralimentarius,DLA,-0.325443501,0.091041291,0.770908289,-0.629804513,0.052202201
Lactobacillus_paralimentarius,DAO,0.094879066,0.63105035,0.924118493,-0.295172288,0.479147608
Clostridium_chartatabidum,FG,-0.176357794,0.369336817,0.924118493,-0.532872111,0.232497054
Clostridium_chartatabidum,ADG,0.033312412,0.866361087,0.924118493,-0.375134209,0.462608139
Clostridium_chartatabidum,Diarrhea_score,-0.261812916,0.178355497,0.770908289,-0.623086093,0.17302063
Clostridium_chartatabidum,ileal_villus_height,-0.118201777,0.549136256,0.924118493,-0.52719922,0.29493172
Clostridium_chartatabidum,ileal_crypt_depth,-0.167084287,0.395427975,0.924118493,-0.546406198,0.251821926
Clostridium_chartatabidum,ileal_villus_height_to_crypt_depth,-0.015057673,0.939379995,0.961470911,-0.375244183,0.365088778
Clostridium_chartatabidum,IL6,-0.214871299,0.27218614,0.770908289,-0.565175607,0.196943571
Clostridium_chartatabidum,IL10,-0.271569597,0.162134556,0.770908289,-0.59625659,0.127761376
Clostridium_chartatabidum,IL17,-0.228211422,0.242799678,0.770908289,-0.589683869,0.14543134
Clostridium_chartatabidum,sIgA,-0.009565238,0.961470911,0.961470911,-0.38394558,0.401427571
Clostridium_chartatabidum,DLA,0.099482287,0.614498204,0.924118493,-0.333226516,0.513089013
Clostridium_chartatabidum,DAO,-0.054976698,0.78112275,0.924118493,-0.419595574,0.291609096
Escherichia,FG,-0.087227416,0.658949994,0.924118493,-0.487370364,0.328444049
Escherichia,ADG,-0.226491443,0.246465628,0.770908289,-0.615693086,0.169027356
Escherichia,Diarrhea_score,0.456774595,0.014546495,0.232743912,0.125338533,0.737728084
Escherichia,ileal_villus_height,-0.114178804,0.562907021,0.924118493,-0.497738438,0.305051411
Escherichia,ileal_crypt_depth,0.009928592,0.960008446,0.961470911,-0.390792391,0.417164714
Escherichia,ileal_villus_height_to_crypt_depth,-0.051595032,0.794291946,0.924118493,-0.409288694,0.298973655
Escherichia,IL6,0.378209401,0.047204047,0.566448565,-0.013741452,0.676228744
Escherichia,IL10,0.0409773,0.835984612,0.924118493,-0.396806968,0.47704663
Escherichia,IL17,0.069228108,0.726308879,0.924118493,-0.35306545,0.453551015
Escherichia,sIgA,0.24143382,0.215823199,0.770908289,-0.122558539,0.582565081
Escherichia,DLA,0.033393635,0.866038137,0.924118493,-0.394410205,0.398630256
Escherichia,DAO,-0.230810043,0.237329738,0.770908289,-0.570140724,0.177251
